logwavrest logwavobs lognuLnu logfnu
-2.027 -1.182 -99.0 -99.0
-2.016 -1.171 -99.0 -99.0
-2.005 -1.16 -99.0 -99.0
-1.995 -1.15 -99.0 -99.0
-1.984 -1.139 -99.0 -99.0
-1.973 -1.128 -99.0 -99.0
-1.962 -1.117 -99.0 -99.0
-1.952 -1.107 -99.0 -99.0
-1.941 -1.096 -99.0 -99.0
-1.93 -1.085 -99.0 -99.0
-1.92 -1.074 -99.0 -99.0
-1.909 -1.064 -99.0 -99.0
-1.898 -1.053 -99.0 -99.0
-1.887 -1.042 -99.0 -99.0
-1.877 -1.032 -99.0 -99.0
-1.866 -1.021 -99.0 -99.0
-1.855 -1.01 -99.0 -99.0
-1.845 -0.999 -99.0 -99.0
-1.834 -0.989 -99.0 -99.0
-1.823 -0.978 -99.0 -99.0
-1.812 -0.967 -99.0 -99.0
-1.802 -0.957 -99.0 -99.0
-1.791 -0.946 -99.0 -99.0
-1.78 -0.935 -99.0 -99.0
-1.769 -0.924 -99.0 -99.0
-1.759 -0.914 -99.0 -99.0
-1.748 -0.903 -99.0 -99.0
-1.737 -0.892 -99.0 -99.0
-1.727 -0.881 -99.0 -99.0
-1.716 -0.871 -99.0 -99.0
-1.705 -0.86 -99.0 -99.0
-1.694 -0.849 -99.0 -99.0
-1.684 -0.839 -99.0 -99.0
-1.673 -0.828 -99.0 -99.0
-1.662 -0.817 -99.0 -99.0
-1.651 -0.806 -99.0 -99.0
-1.641 -0.796 -99.0 -99.0
-1.63 -0.785 -99.0 -99.0
-1.619 -0.774 -99.0 -99.0
-1.609 -0.763 -99.0 -99.0
-1.598 -0.753 -99.0 -99.0
-1.587 -0.742 -99.0 -99.0
-1.576 -0.731 -99.0 -99.0
-1.566 -0.721 -99.0 -99.0
-1.555 -0.71 -99.0 -99.0
-1.544 -0.699 -99.0 -99.0
-1.534 -0.688 -99.0 -99.0
-1.523 -0.678 -99.0 -99.0
-1.512 -0.667 -99.0 -99.0
-1.501 -0.656 -99.0 -99.0
-1.491 -0.646 -99.0 -99.0
-1.48 -0.635 -99.0 -99.0
-1.469 -0.624 -99.0 -99.0
-1.458 -0.613 -99.0 -99.0
-1.448 -0.603 -99.0 -99.0
-1.437 -0.592 -99.0 -99.0
-1.426 -0.581 -99.0 -99.0
-1.416 -0.57 -99.0 -99.0
-1.405 -0.56 -99.0 -99.0
-1.394 -0.549 -99.0 -99.0
-1.383 -0.538 -99.0 -99.0
-1.373 -0.528 -99.0 -99.0
-1.362 -0.517 -99.0 -99.0
-1.351 -0.506 -99.0 -99.0
-1.34 -0.495 -99.0 -99.0
-1.33 -0.485 -99.0 -99.0
-1.319 -0.474 -99.0 -99.0
-1.308 -0.463 -99.0 -99.0
-1.298 -0.452 -99.0 -99.0
-1.287 -0.442 -99.0 -99.0
-1.276 -0.431 -99.0 -99.0
-1.265 -0.42 -99.0 -99.0
-1.255 -0.41 -99.0 -99.0
-1.244 -0.399 -99.0 -99.0
-1.233 -0.388 -99.0 -99.0
-1.223 -0.377 -99.0 -99.0
-1.212 -0.367 -99.0 -99.0
-1.201 -0.356 -99.0 -99.0
-1.19 -0.345 -99.0 -99.0
-1.18 -0.335 -99.0 -99.0
-1.169 -0.324 -99.0 -99.0
-1.158 -0.313 -99.0 -99.0
-1.147 -0.302 -99.0 -99.0
-1.137 -0.292 -99.0 -99.0
-1.126 -0.281 -99.0 -99.0
-1.115 -0.27 -99.0 -99.0
-1.105 -0.259 -99.0 -99.0
-1.094 -0.249 -99.0 -99.0
-1.083 -0.238 -99.0 -99.0
-1.072 -0.227 -99.0 -99.0
-1.062 -0.217 -99.0 -99.0
-1.051 -0.206 -99.0 -99.0
-1.04 -0.195 -99.0 -99.0
-1.029 -0.184 8.473 -3.225
-1.019 -0.174 8.595 -3.091
-1.008 -0.163 8.731 -2.945
-0.997 -0.152 8.594 -3.072
-0.987 -0.141 9.01 -2.645
-0.976 -0.131 8.867 -2.777
-0.965 -0.12 8.723 -2.911
-0.954 -0.109 8.565 -3.057
-0.944 -0.099 8.386 -3.225
-0.933 -0.088 8.181 -3.42
-0.922 -0.077 7.947 -3.644
-0.912 -0.066 7.934 -3.646
-0.901 -0.056 9.739 -1.83
-0.89 -0.045 9.731 -1.827
-0.879 -0.034 9.714 -1.833
-0.869 -0.024 9.699 -1.837
-0.858 -0.013 9.72 -1.806
-0.847 -0.002 9.68 -1.835
